Name,Position,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa
Tom Brady,QB,19596,2021,REG,485,719,5316.0,43,12.0,22.0,144.0,3,2,5821.0,2534.0,269.0,145.714883711392,0,15.9320748162233,28,81.0,2,1.0,1.0,14.0,3.85047854911179,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Lee,PN,22824,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,1.0,1.0,0.0,-2.51207417278783,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Roethlisberger,QB,22924,2021,REG,390,605,3740.0,22,10.0,38.0,239.0,11,5,4055.0,1932.0,188.0,-44.5825530095486,2,15.4474058987386,20,5.0,1,0.0,0.0,3.0,-1.97940342813438,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Rodgers,QB,23459,2021,REG,366,531,4115.0,37,4.0,30.0,188.0,1,0,4078.0,2189.0,213.0,128.684114856113,0,16.8399134952831,33,101.0,3,2.0,0.0,10.0,5.83122421469307,0,1,1,-4.0,0,0.0,0.0,-4.0,0.0,0.0,-1.24344629049301,0,0.0,0.032258064516129,-0.0112994350282486,0.0404774922544195,0.0,16,0.00178890876565295,-0.000930016275284817,0.0,0.00193935012825157,-0.000922509225092251,0.0,0.0,0.0,-0.000461254612546125,-0.000738007380073801,-0.00715563506261181
Ryan Fitzpatrick,QB,23682,2021,REG,3,6,13.0,0,0.0,1.0,2.0,1,0,9.0,6.0,0.0,-4.27462314258315,0,1.44444444444444,1,2.0,0,0.0,0.0,0.0,-1.19552433757689,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcedes Lewis,TE,24243,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,23,28,214.0,0,1.0,0.0,103.0,144.0,10.0,8.63060797413345,0,23.4425397183462,0.841074868363768,0.412532898387106,1.55038533141663,0.0,13,0.0611353711790393,0.029933158965417,0.0785597381342062,0.115649583940893,0.0644966847498493,0.0,0.0578034682080925,0.05,0.0322483423749247,0.0515973477998794,0.467248908296943
Sam Koch,PN,24417,2021,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,10.0,0.0,0.0,-2.7787173029501,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0
Adrian Peterson,RB,25394,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,38,98.0,2,1.0,0.0,6.0,-9.86462577158818,0,4,4,8.0,0,0.0,0.0,-6.0,14.0,0.0,-1.27764497848693,0,-4.25,0.114714261773085,-0.0506717114207963,0.136601194665071,0.0,4,0.027972027972028,-0.00637619553666312,0.0317460317460317,0.0368570855287115,0.00879120879120879,0.0,0.0,0.0,0.0043956043956044,0.00703296703296703,0.0559440559440559
Danny Amendola,WR,26035,2021,REG,0,1,0.0,0,0.0,0.0,0.0,0,0,14.0,0.0,0.0,-0.361697550688405,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,24,38,248.0,3,1.0,0.0,321.0,105.0,10.0,-0.118615819919292,1,6.97943627369075,1.18417945036108,1.16948901244215,2.59491148425112,0.0,8,0.146153846153846,0.155825242718447,0.134443021766965,0.343890963405526,0.140192198982476,0.272727272727273,0.131578947368421,0.149425287356322,0.206459735854874,0.166699213731435,0.953846153846154
Matt Ryan,QB,26143,2021,REG,375,560,3968.0,20,12.0,40.0,274.0,5,3,4001.0,1721.0,195.0,6.56026163567466,0,17.9208790939914,40,82.0,1,5.0,1.0,9.0,-18.94138247697,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Flacco,QB,26158,2021,REG,27,42,338.0,3,0.0,2.0,13.0,1,1,336.0,175.0,14.0,6.29411907645483,0,2.4702273929138,2,3.0,0,0.0,0.0,1.0,0.167107119690627,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,WR,26189,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,4.0,0,0.0,0.0,0.0,0.00335272261872888,0,20,34,454.0,2,1.0,1.0,647.0,175.0,12.0,11.0467898137285,0,10.2980195221988,1.01115828056758,2.13397029642011,3.01051662834545,0.0,14,0.0691056910569106,0.153172348484848,0.0953159041394336,0.226196415373245,0.115024068913099,0.08,0.0638297872340425,0.0657276995305164,0.0975120344565493,0.108019255130479,0.922764227642276
Chad Henne,QB,26197,2021,REG,11,16,82.0,0,0.0,0.0,0.0,0,0,125.0,24.0,6.0,4.04798453045078,0,0.656,8,0.0,0,2.0,0.0,0.0,-1.98729497654131,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Johnson,QB,26300,2021,REG,57,85,638.0,5,2.0,3.0,23.0,0,0,620.0,283.0,39.0,27.3874769334036,0,4.86713581909311,9,28.0,0,2.0,0.0,1.0,-3.19134804530768,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Stafford,QB,26498,2021,REG,404,601,4886.0,41,17.0,30.0,243.0,4,2,5094.0,2124.0,233.0,116.436423100954,2,17.1057124060843,32,43.0,0,1.0,0.0,8.0,-1.90165293193422,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Daniel,QB,26544,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,2,-2.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Hoyer,QB,26625,2021,REG,9,11,227.0,1,0.0,0.0,0.0,0,0,97.0,143.0,8.0,20.8771344408451,0,9.66838383838384,11,-8.0,0,0.0,0.0,1.0,-4.04850489262026,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
